Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,3000,3000,3000,4720,4925,30,22332,3930,523,292,17,26,51,56,56,77,65,70,76,82,86,93,104
Austria,34938,34508,62355,57687,40703,34385,89116,84394,80300,82081,15492,14390,14130,16109,17795,21230,25486,30773,37557,38906,42630,47073,51730,55598,55598
Belgium,25911,24071,24292,24908,19497,31691,36060,36060,15509,16760,18832,12265,12578,12595,13529,15282,16820,17575,17026,15545,17892,22402,22024,25633,29179
Bulgaria,,,218,450,1060,1320,1430,390,240,547,1474,3004,3658,4068,4684,4413,4504,4836,5129,5393,5530,5688,2288,4320,11046
Bosnia and Herzegovina,,,,,,,,40000,40000,65645,38152,32745,28022,22517,22215,10568,10318,7367,7257,7132,7016,6933,6903,6926,6890
Belarus,,,,,1822,28988,30525,50,75,260,458,584,618,638,725,725,690,649,609,580,589,595,576,604,925
Central Europe and the Baltics,45123,75730,522368,339162,219630,239463,188898,84236,40388,42202,36205,37110,24102,23756,22538,25016,26416,29733,32346,32937,32590,32573,28941,30896,37988
Switzerland,40943,45622,51930,56586,75295,82943,84413,83203,81903,82298,57653,58494,54113,50144,47678,48030,48523,45653,46132,46203,48813,50416,50747,52464,62620
Czech Republic,,691,9399,188,1186,2655,2266,1731,1805,1232,1186,1216,1297,1516,1144,1802,1887,2037,2110,2323,2449,2449,2805,3184,3137
Germany,816000,821500,1236000,1418000,1354600,1267900,1266000,1049000,949200,975500,906000,903000,980000,960395,876622,700016,605406,578879,582735,593799,594269,571684,589737,187567,216973
Denmark,32906,36110,39118,44564,49558,64844,66373,68122,69015,69006,71035,73284,73597,69858,65310,44374,36659,26788,23401,20355,17922,13399,11814,13170,17785
Europe & Central Asia (developing only),28000,31113,613215,672121,638102,570574,558662,556470,647860,671046,445047,419769,386012,361322,361394,315766,255035,152113,170696,158157,134998,132218,372581,712653,1671134
Europe & Central Asia (all income levels),1439045,1488231,2992856,3175065,3080064,2959592,3215507,2896284,2660934,2673582,2281109,2285748,2327511,2245203,2127964,1892093,1739173,1589866,1636037,1649545,1610871,1560846,1797327,1779879,3086604
Euro area,1119112,1103271,1615264,1830111,1798725,1690426,1745548,1531494,1352505,1383776,1260117,1256933,1328112,1304927,1221580,1045387,955391,935144,967056,1012282,1024784,1022620,1058069,698748,776340
Estonia,,,,,,,,,,,4,11,10,12,11,7,5,18,22,24,39,50,63,70,90
European Union,1350436,1382952,2298449,2409948,2324549,2260201,2279166,1972623,1758494,1798544,1707486,1744018,1827472,1784315,1680475,1491705,1398876,1365184,1390548,1414743,1394390,1347063,1339598,980984,1089145
Finland,2348,4561,5950,8511,9511,10191,11382,12017,12290,12869,13276,12728,12490,10843,11325,11809,11827,6204,6617,7447,8724,9175,9919,11252,11798
France,193000,174756,156512,166269,195288,155245,151329,146558,140215,129722,132508,131601,132182,130838,139852,137316,145996,151789,171206,196364,200687,210207,217865,232487,252264
United Kingdom,43632,43371,64726,80230,85160,90909,98577,107933,121716,148922,186248,233389,260687,276522,298844,303181,301556,299718,292097,269363,238150,193510,149799,126055,117161
Georgia,,,,,,100,95,162,20,5180,7620,7901,4192,3864,2559,2497,1373,1047,996,870,639,462,469,847,442
Greece,8488,8989,8456,7873,7784,4428,5780,5520,6145,6283,6653,6948,2788,2771,2489,2390,2289,2228,2164,1695,1444,1573,2100,3485,7304
Croatia,,,403000,287000,183600,198647,165395,68863,29027,28374,22437,21875,8392,4387,3663,2927,2443,1642,1597,1238,936,824,724,684,679
